ID,Decision,Build_Selfcon,Tier,Marital_Status,Employer_Type,OldEmi_d,BankSave_d,Age,YrsAdd,YrsJob,TotInc,MarVal,LoanReq,Term,CalcEmi,IIR,IAR,OldEmi,LTV,FOIR
DEL-5706-592881,0,Self Contruction,1,Married,Corporate,0,0,55,25,1,24823,1408451,1000000,180,15390.04004,61.99911388,81.00021073,0,70.99998509,61.99911388
DEL-W94T-632287,1,Self Contruction,1,Married,Business,1,0,27,25,8,73286,1694915,1000000,180,15390.04004,20.99997276,45.00011707,9087,59.00000885,33.39933963
DEL-61XY-715409,1,Self Contruction,1,Married,Corporate,0,0,33,15,4,92340,1764706,900000,180,13851.04004,15.00004336,23.99986145,0,50.9999966,15.00004336
DEL-3G1U-835112,1,Self Contruction,1,Married,Ind/SmallBus,0,0,36,3,11,25054,897436,700000,180,10773.03027,42.99924273,88.00057404,0,77.99999109,42.99924273
DEL-5214-686614,0,Self Contruction,1,Married,Corporate,0,0,49,10,3,34628,1607143,900000,180,13851.04004,39.99953806,50.99981604,0,55.99999502,39.99953806
AJM-2H6L-529703,1,Self Contruction,1,Married,Govt,0,0,46,1,20,16031,1020408,500000,180,7695.02002,48.00087343,95.99575873,0,49.00000784,48.00087343
DEL-TM5M-602334,1,Self Contruction,1,Married,Business,1,0,52,1,10,35429,1194030,800000,156,12754.36035,35.99977519,69.99813595,3968,66.99999163,47.19963971
DEL-94CC-820494,1,Self Contruction,1,Married,Corporate,0,0,34,5,9,34200,1395349,600000,180,9234.030273,27.00008852,45.00014753,0,42.99999498,27.00008852
DEL-F659-860858,1,Self Contruction,1,Married,Ind/SmallBus,0,0,31,4,2,27982,1000000,800000,180,12312.03027,43.99982229,90.99800646,0,80,43.99982229
DEL-JX6V-735641,1,Self Contruction,1,Married,Business,1,0,31,5,15,39716,1194030,800000,180,12312.03027,31.00017694,54.00013278,1787,66.99999163,35.49962301
DEL-6U50-744036,0,Self Contruction,1,Married,Business,0,0,55,15,19,19858,1000000,400000,180,6156.02002,31.00020153,62.00040306,0,40,31.00020153
DEL-8O18-634928,1,Self Contruction,1,Married,Business,0,0,34,5,10,28633,1403509,800000,180,12312.03027,42.99944216,76.00018687,0,56.99999074,42.99944216
DEL-Q72H-710267,0,Self Contruction,1,Married,Ind/SmallBus,0,0,44,20,10,17100,1000000,500000,180,7695.02002,45.00011707,68.00123736,0,50,45.00011707
DEL-22VX-972568,1,Self Contruction,1,Married,Business,0,0,25,8,3,46636,2083333,1000000,180,15390.04004,33.00034317,69.99927244,0,48.00000768,33.00034317
DEL-3Z2R-527010,1,Self Contruction,1,Married,Business,0,0,39,20,20,49645,7142857,1000000,180,15390.04004,31.00018137,61.99911388,0,14.00000028,31.00018137
DEL-4ZQ6-562911,1,Self Contruction,1,Married,Corporate,0,0,33,20,4,25184,960000,720000,180,11080.83008,43.99948411,66.00053653,0,75,43.99948411
DEL-E5QG-860345,1,Self Contruction,1,Married,Business,0,0,38,1,15,27360,1000000,800000,180,12312.03027,45.00011065,88.99833941,0,80,45.00011065
DEL-7CL4-696687,0,Self Contruction,1,Married,Business,0,0,62,36,30,27619,333333,100000,60,2761.889893,9.999963404,15.99982559,0,30.00003,9.999963404
DEL-L60P-880161,1,Self Contruction,1,Married,Business,1,0,33,20,17,47163,1202532,950000,180,14620.54004,31.00002129,59.99893319,5028,78.99997672,41.66092072
DEL-YOIO-698923,1,Self Contruction,1,Married,Business,0,0,26,5,15,28633,1290323,800000,180,12312.03027,42.99944216,84.99848308,0,61.99997985,42.99944216
DEL-4Q6S-697214,0,Self Contruction,1,Married,Business,0,0,53,6,29,46626,1612903,1000000,144,16319.23047,35.00027982,42.00033578,0,62.00000868,35.00027982
DEL-VB4K-780053,1,Self Contruction,1,Married,Govt,0,0,43,8,8,24047,1666667,750000,180,11542.53027,47.99987638,94.0022011,0,44.999991,47.99987638
DEL-3008-684874,1,Self Contruction,1,Married,Business,0,0,31,2,5,28500,2500000,500000,180,7695.02002,27.00007024,59.00184036,0,20,27.00007024
DEL-PLW4-491634,1,Self Contruction,1,Married,Govt,0,0,41,25,20,20250,1000000,500000,180,7695.02002,38.00009886,71.99681905,0,50,38.00009886
DEL-HQ7B-879854,1,Self Contruction,1,Married,Business,1,0,28,5,10,53069,1492537,1000000,180,15390.04004,29.0000566,45.99946211,3667,67.00001407,35.90992866
DEL-WAQ5-958407,1,Self Contruction,1,Married,Ind/SmallBus,1,0,49,1,6,29925,1206897,700000,180,10773.03027,36.00010116,95.99920044,2295,57.99997846,43.6692741
